Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes
Laser Spot Path / Ablation Mode,Basic,Read-Only,Controlled list,$MethodDefinition.ada:ablationSamplingMode,inferred,shared,
Spot Diameter,Basic,Editable,Text (free),$MethodDefinition.ada:spotDiameterDefault,authored,,dual-home decision: protocol default
Spot Diameter,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.ada:spotDiameter,authored,,dual-home decision: analysis-tier value
Spot Diameter (Measured),N/A,Basic,Text (free),$Dataset.ada:spotDiameterMeasured,authored,,
Laser Pulse Duration,Advanced,Read-Only,Numeric (ns),$MethodDefinition.schema:instrument[schema:additionalType='Laser Ablation System'].schema:additionalProperty[schema:name='Laser Pulse Duration'].schema:value,inferred,shared,
Laser Fluence (Energy Density),Basic,Editable,Numeric (J cm⁻²),$MethodDefinition.schema:instrument[schema:additionalType='Laser Ablation System'].ada:laserFluenceDefault,authored,shared,dual-home decision: protocol default
Laser Fluence (Energy Density),Basic,Editable,Numeric (J cm⁻²),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='Laser Ablation System'].ada:laserFluence,authored,shared,dual-home decision: analysis-tier value
Laser Repetition Rate,Basic,Editable,Numeric (Hz),$MethodDefinition.schema:instrument[schema:additionalType='Laser Ablation System'].ada:laserRepetitionRateDefault,authored,shared,dual-home decision: protocol default
Laser Repetition Rate,Basic,Editable,Numeric (Hz),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='Laser Ablation System'].ada:laserRepetitionRate,authored,shared,dual-home decision: analysis-tier value
Ablation Duration per Spot,Basic,Editable,Numeric (s),$MethodDefinition.ada:ablationSpotDurationDefault,authored,shared,dual-home decision: protocol default
Ablation Duration per Spot,Basic,Editable,Numeric (s),$Dataset.prov:wasGeneratedBy.ada:ablationSpotDuration,authored,shared,dual-home decision: analysis-tier value
Ablation Pit Depth/Ablation Rate,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Ablation Pit Depth Ablation Rate'].schema:defaultValue,inferred,,
Ablation Pit Depth/Ablation Rate,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Ablation Pit Depth Ablation Rate'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
Laser Beam Energy Profile,Advanced,Read-Only,Controlled list / Text,$MethodDefinition.schema:instrument[schema:additionalType='Laser Ablation System'].schema:additionalProperty[schema:name='Laser Beam Energy Profile'].schema:value,inferred,shared,
Carrier Gas and Flow Rate,Basic,Editable,Text (free),$MethodDefinition.ada:carrierGasFlowRateDefault,authored,shared,dual-home decision: protocol default
Carrier Gas and Flow Rate,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.ada:carrierGasFlowRate,authored,shared,dual-home decision: analysis-tier value
RF Power (W),Basic,Editable,Numeric (W),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='RF Power'].schema:defaultValue,authored,,dual-home decision: protocol default
RF Power (W),Basic,Editable,Numeric (W),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='RF Power'].schema:value,authored,,dual-home decision: analysis-tier value
Make-up Gas Flow (L min⁻¹),Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Make up Gas Flow L min'].schema:defaultValue,inferred,,
Make-up Gas Flow (L min⁻¹),Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Make up Gas Flow L min'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
Coolant (Plasma) Gas Flow Rate,Advanced,Editable,Numeric (L/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='Coolant Plasma Gas Flow Rate'].schema:defaultValue,authored,shared,
