Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
EBSD Frame Time,Advanced,Editable,Numeric (ms),$Dataset.ada:frameTime,authored,,,
EBSD Phase List,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='EBSD Phase List'].schema:value,authored,,tier rule: session parameter is an additionalProperty on the analysis,
EBSD Phase List,Basic,Editable,Text (free),$MethodDefinition.ada:ebsdPhaseListDefault,authored,,tier rule: added the missing procedure default (reused from another sidecar),
EBSD Indexing Method,Basic,Read-Only,Controlled list,$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].ada:ebsdIndexingMethod,authored,,,
Crystal Structure Database,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Crystal Structure Database'].schema:defaultValue,authored,,dual-home decision: protocol default,
Crystal Structure Database,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Crystal Structure Database'].schema:value,authored,,dual-home decision: analysis-tier value,
EBSD Pattern Quality Threshold,Advanced,Editable,Text (free),$MethodDefinition.dqv:hasQualityMeasurement[dqv:isMeasurementOf='EBSD Pattern Quality Threshold'].dqv:value,authored,,,
EBSD Pattern Quality Threshold,Advanced,Editable,Text (free),$Dataset.dqv:hasQualityMeasurement[dqv:isMeasurementOf='EBSD Pattern Quality Threshold'].dqv:value,authored,,new in this revision (needs mapping),
Constants and Reference Values Used,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Constants Reference Values'].schema:defaultValue,authored,,"data-reduction step parameter, following geochronTAPP",
Constants and Reference Values Used,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Constants Reference Values'].schema:value,authored,,"data-reduction step parameter, following geochronTAPP",
EBSD Mean Angular Deviation,N/A,Basic,Numeric (degrees),$Dataset.dqv:hasQualityMeasurement[dqv:isMeasurementOf='EBSD Mean Angular Deviation'].dqv:value,authored,,,
EBSD Indexing Rate,N/A,Basic,Numeric (%),$Dataset.dqv:hasQualityMeasurement[dqv:isMeasurementOf='EBSD Indexing Rate'].dqv:value,authored,,,
CL Wavelength Calibration Reference,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='CL Wavelength Calibration Reference'].schema:defaultValue,inferred,,,
CL Wavelength Calibration Reference,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='CL Wavelength Calibration Reference'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,
Additional Notes,Advanced,Advanced,Text (free),,module,shared,placement owned by Module Core,
Additional Notes,Advanced,Advanced,Text (free),,module,shared,placement owned by Module Core,
