Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes
Plasma Thermal Mode,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='Plasma Thermal Mode'].schema:value,authored,shared,"read-only: fixed protocol value, not a default"
Memory Effect Mitigation,Advanced,Editable,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:additionalProperty[schema:name='Memory Effect Mitigation'].schema:defaultValue,inferred,shared,
Monitored Isotopes,Basic,Read-Only,Text (free),$.ada:analyteTemplate.ada:analyteColumns[],inferred,shared,Analyte-specific field
Mass Resolution per Analyte,Basic,Read-Only,Text (free),$.ada:analyteTemplate.ada:analyteColumns[],inferred,shared,Analyte-specific field
E-scan Range,Advanced,Read-Only,Numeric (%),$MethodDefinition.schema:additionalProperty[schema:name='E scan Range'].schema:value,inferred,shared,
Triple Scanning Mode,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Triple Scanning Mode'].schema:value,inferred,shared,
Dwell Time per Mass,Basic,Editable,Numeric (ms) / Text,$.ada:analyteTemplate.ada:analyteColumns[],inferred,shared,Analyte-specific field
Number of Scans per Replicate,Basic,Read-Only,Integer,$MethodDefinition.ada:numberOfScansPerReplicate,inferred,,
Number of Replicates per Sample,Basic,Read-Only,Integer,$MethodDefinition.ada:numberOfReplicatesPerSample,inferred,shared,
Analysis Sequence,Basic,Read-Only,Text (free),$MethodDefinition.ada:sampleSequenceDesign,inferred,shared,
Wash Time Between Samples,Basic,Read-Only,Numeric (s),$MethodDefinition.ada:washTimeBetweenSamples,inferred,shared,
Internal Standard Element,Basic,Read-Only,Text (free),$MethodDefinition.ada:internalStandardElement,inferred,shared,
Internal Standard Concentration,Advanced,Read-Only,Numeric (µg/L),$MethodDefinition.schema:additionalProperty[schema:name='Internal Standard Concentration'].schema:value,inferred,shared,
Oxide Production Method and Threshold,Basic,Read-Only,Text (free),$MethodDefinition.ada:oxideProductionMethodAndThreshold,inferred,shared,
Oxide Production,N/A,Basic,Text (free),$Dataset.dqv:hasQualityMeasurement[dqv:isMeasurementOf='Oxide production ratio'].dqv:value,inferred,shared,
Nebulizer Gas Flow Rate,Basic,Editable,Numeric (L/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Nebulizer Gas Flow Rate'].schema:defaultValue,authored,shared,dual-home decision: protocol default
Nebulizer Gas Flow Rate,Basic,Editable,Numeric (L/min),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Nebulizer Gas Flow Rate'].schema:value,authored,shared,dual-home decision: analysis-tier value
Normalization / Standards-Based Correction,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Normalization / Standards-Based Correction'].schema:value,authored,shared,
Normalization / Standards-Based Correction,Advanced,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Normalization / Standards-Based Correction'].schema:defaultValue,authored,shared,
Primary Calibration Standard Name,Basic,Editable,Text (free),$MethodDefinition.ada:primaryStandardNameDefault,authored,divergent,dual-home decision: protocol default
Primary Calibration Standard Name,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used[ada:reagentRole='primaryStandard'].schema:name,authored,divergent,dual-home decision: analysis-tier value
Internal Standard Approach,Basic,Read-Only,Controlled list,$MethodDefinition.ada:internalStandardApproach,inferred,shared,
Drift Correction Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:driftCorrectionMethod,inferred,shared,
Per-Analyte Calibration Strategy,Basic,Read-Only,Controlled list,$MethodDefinition.ada:perAnalyteCalibrationStrategy[],inferred,shared,
Signal Integration Interval Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:signalIntegrationIntervalMethod,inferred,shared,
Signal Integration Time,N/A,Basic,Numeric (s),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Signal Integration Time'].schema:value,inferred,shared,
Blank / Background Correction Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:blankBackgroundCorrectionMethod,inferred,shared,
Pulse/Analog Detector Nonlinearity Correction,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Pulse Analog Detector Nonlinearity Correction'].schema:value,authored,shared,
Pulse/Analog Detector Nonlinearity Correction,Advanced,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Pulse Analog Detector Nonlinearity Correction'].schema:defaultValue,inferred,shared,
RF Power,Basic,Editable,Numeric (W),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='RF Power'].schema:defaultValue,authored,shared,dual-home decision: protocol default
RF Power,Basic,Editable,Numeric (W),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='RF Power'].schema:value,authored,shared,dual-home decision: analysis-tier value
Sample Aliquot Mass or Volume,Advanced,Editable,Numeric (mg or mL),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Sample Aliquot Mass or Volume'].schema:value,authored,shared,
